id_exp,id_data,j_geo__A_cm2,j_grav__A_mgIr,S_number,S_number_max,S_number_min
1,1,0.000101701,,1256871.215,,
1,2,1,,2119537.646,,
1,3,1,,3136562.174,,
1,4,0.296843451,,3574304.018,,
1,5,0.099160109,,5646418.314,,
1,6,0.029935773,,3348287.142,,
1,7,0.009832727,,2262611.182,,
1,8,0.01,,3136562.174,,
1,9,0.01,,3815577.54,,
1,10,0.01,,8633168.407,,
1,11,0.009832727,,6434438.263,,
1,12,0.005007647,,8355757.272,,
1,13,0.003018933,,2415342.501,,
1,14,0.003018933,,1528963.659,,
1,15,0.000991601,,1216483.949,,
1,16,0.000991601,,3942254.711,,
1,17,0.000991601,,6434438.263,,
1,18,0.000299358,,1102943.312,,
2,1,,0.01,4052974,,
2,2,,0.030078825,7521857,,
2,3,,0.099376251,3736269,,
2,4,,0.19902748,2879811,,
2,5,,0.19902748,1825930,,
2,6,,0.975282507,3227260,,
3,1,,0.018822869,85095.48974,,
3,2,,0.037231936,43203.0113,,
3,3,,0.079334374,79775.43094,,
3,4,,0.160865605,173108.2464,,
3,5,,0.198620987,110168.1546,,
3,6,,0.373861679,138097.8496,,
3,7,,0.373861679,61619.70661,,
3,8,,0.758075999,100000,,
3,9,,1.260487664,138097.8496,,
3,10,,1.537143957,63641.19381,,
3,11,,11.32035286,16942.2842,,
4,1,,0.02,106420.9244,111853.2606,96334.92948
5,1,,0.02,96334.92948,103804.5084,
6,1,,0.1,32218.70706,34716.86819,29900.30894
7,1,,0.1,32218.70706,34716.86819,
8,1,1,1,5962483.312,8738075.346,3094872.764
9,1,1,1,998128.2104,1377645.602,599609.0589
10,1,0.1,0.1,1028501.773,1163877.417,882031.5773
11,1,1,1,10940977.96,17217266.37,4418145.687
12,1,1,1,5873781.937,7493675.346,4145484.202
13,1,0.1,0.1,6098053.249,8322625.912,3760663.22
14,1,0.004939439,0.009878879,19700084.32,,
14,2,0.010041092,0.020082184,37611369.65,,
14,3,0.010041092,0.020082184,42637058.37,,
14,4,0.019997676,0.039995351,70968206.48,,
14,5,0.019997676,0.039995351,73516187.84,,
14,6,0.019997676,0.039995351,81402604.01,,
14,7,0.039990703,0.079981406,84988800.95,,
14,8,0.034786196,0.069572393,114030565.1,,
14,9,0.034643838,0.069287676,122846193,,
14,10,0.034786196,0.069572393,133908612.7,,
14,11,0.04048572,0.080971441,136024463.4,,
14,12,0.040320037,0.080640075,157251843.2,,
14,13,0.039990703,0.079981406,181791874.6,,
14,14,0.04048572,0.080971441,202877573.8,,
14,15,0.039990703,0.079981406,246797312.2,,
14,16,0.04048572,0.080971441,337684120.3,,
14,17,0.050314353,0.100628707,150616426.9,,
14,18,0.050314353,0.100628707,157251843.2,,
14,19,0.050314353,0.100628707,182505768.5,,
14,20,0.279335702,0.558671405,458433763.5,,
14,21,0.280483547,0.560967094,654892795.5,,
14,22,0.279335702,0.558671405,736603948.6,,
14,23,0.280483547,0.560967094,806088970.2,,
14,24,0.279335702,0.558671405,950325407.3,,
14,25,0.682923751,1.365847503,1192877219,,
14,26,0.682923751,1.365847503,1230871642,,
14,27,0.682923751,1.365847503,1406323087,,
14,27,0.682923751,1.365847503,1575603034,,
14,27,0.682923751,1.365847503,1731003206,,
14,27,0.682923751,1.365847503,1909198409,,
14,27,1.615736129,3.231472259,1594238128,,
14,27,1.615736129,3.231472259,1779150823,,
14,27,1.615736129,3.231472259,2001135958,,
14,27,1.615736129,3.231472259,2097500764,,
14,27,1.615736129,3.231472259,2147409616,,
14,27,1.615736129,3.231472259,2215806923,,
14,27,1.615736129,3.231472259,2359206507,,
14,27,1.615736129,3.231472259,2511886432,,
14,27,2.599919664,5.199839328,1751476261,,
14,27,2.58927981,5.178559619,1954626713,,
14,27,2.599919664,5.199839328,2064874291,,
15,1,0.1,0.1,783833.022,832683.8087,712792.696
